"county","fips","X1900","X1910","X1920","X1930","X1940","X1950","X1960","X1970","X1980","X1990","X2000","X2010","X2020","X2030"
"Cooper",29053,22532,20311,19308,19522,18075,15448,15448,14732,14643,14835,16670,17601,0,0
"Crawford",29055,12959,13576,12355,11287,12693,12647,12647,14828,18300,19173,22804,24696,0,0
"Dade",29057,18125,15613,14173,11764,11248,7577,7577,6850,7383,7449,7923,7883,0,0
"Dallas",29059,13903,13181,12033,10541,11523,9314,9314,10054,12096,12646,15661,16777,0,0
"Daviess",29061,21325,17605,16641,14424,13398,9502,9502,8420,8905,7865,8016,8433,0,0
"DeKalb",29063,14418,12531,11694,10270,9751,7226,7226,7305,8222,9967,11597,12892,0,0
"Dent",29065,12986,13245,12318,10974,11763,10445,10445,11457,14517,13702,14927,15657,0,0
"Douglas",29067,16802,16664,15436,13959,15600,9653,9653,9268,11594,11876,13084,13684,0,0
"Dunklin",29069,21706,30328,32773,35799,44957,39139,39139,33742,36324,33112,33155,31953,0,0
"Franklin",29071,30581,29830,28427,30519,33868,44566,44566,55127,71233,80603,93807,101492,0,0
"Gasconade",29073,12298,12847,12381,12172,12414,12195,12195,11878,13181,14006,15342,15222,0,0
"Gentry",29075,20554,16820,15634,14348,13359,8793,8793,8060,7887,6848,6861,6738,0,0
"Greene",29077,52713,63831,68698,82929,90541,126276,126276,152929,185302,207949,240391,275174,0,0
"Grundy",29079,17832,16744,17554,16135,15716,12220,12220,11819,11959,10536,10432,10261,0,0
"Harrison",29081,24398,20466,19719,17233,16525,11603,11603,10257,9890,8469,8850,8957,0,0
"Henry",29083,28054,27242,25116,22931,22313,19226,19226,18451,19672,20044,21997,22272,0,0
"Hickory",29085,9985,8741,7033,6430,6506,4516,4516,4481,6367,7335,8940,9627,0,0
"Holt",29087,17083,14539,14084,12720,12476,7885,7885,6654,6882,6034,5351,4912,0,0
"Howard",29089,18337,15653,13997,13490,13026,10859,10859,10561,10008,9631,10212,10144,0,0
"Howell",29091,21834,21065,21102,19672,22270,22027,22027,23521,28807,31447,37238,40400,0,0
"Iron",29093,8716,8563,9458,9642,10440,8041,8041,9529,11084,10726,10697,10630,0,0
"Jackson",29095,195193,283522,367846,470454,477828,622732,622732,654178,629266,633232,654880,674158,0,0
"Jasper",29097,84018,89673,75941,73810,78705,78863,78863,79852,86958,90465,104686,117404,0,0
"Jefferson",29099,25712,27878,26555,27563,32023,66377,66377,105647,146183,171380,198099,218733,0,0
"Johnson",29101,27843,26297,24899,22413,21617,28981,28981,34172,39059,42514,48258,52595,0,0
"Knox",29103,13479,12403,10783,9658,8878,6558,6558,5692,5508,4482,4361,4131,0,0
"Laclede",29105,16523,17363,16857,16320,18718,18991,18991,19944,24323,27158,32513,35571,0,0
"Lafayette",29107,31679,30154,30006,29259,27856,25274,25274,26626,29925,31107,32960,33381,0,0
"Lawrence",29109,31662,26583,24211,23774,24637,23260,23260,24585,29973,30236,35204,38634,0,0
"Lewis",29111,16724,15514,13465,12093,11490,10984,10984,10993,10901,10233,10494,10211,0,0
"Lincoln",29113,18352,17033,15956,13929,14395,14783,14783,18041,22193,28892,38944,52566,0,0
"Linn",29115,25503,25253,24778,23339,21416,16815,16815,15125,15495,13885,13754,12761,0,0
